GARE;CODE_LIGNE;RG_TRONCON;PK;IDGAIA;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;Geo Point;Geo Shape
Compiègne;242000;1;080+434;51df6510-6665-11e3-afff-01f464e0362d;684805.6677000001;6922863.238400001;2.790714856109161;49.40506681989536;49.40506681989536, 2.790714856109161;49.405066819876026, 2.790714856109161;"{""coordinates"": [2.790714856109161, 49.405066819876026], ""type"": ""Point""}"
Beuzeville (Eure);375000;1;184+150;51e65d00-6665-11e3-afff-01f464e0362d;507288.76299999654;6918660.841699999;0.348550712830037;49.33838849341746;49.33838849341746, 0.34855071283003736;49.338388493397794, 0.3485507128300346;"{""coordinates"": [0.348550712830035, 49.338388493397794], ""type"": ""Point""}"
Hayange;180000;2;185+050;51ec7cc4-6665-11e3-afff-01f464e0362d;928991.0807000026;6919171.5777;6.150404089847554;49.33099805747895;49.33099805747895, 6.150404089847554;49.33099805745926, 6.150404089847557;"{""coordinates"": [6.150404089847557, 49.33099805745926], ""type"": ""Point""}"
;927000;1;008+289;51e2d6a2-6665-11e3-afff-01f464e0362d;857316.9659999982;6327154.889600001;4.962496967587194;44.02580029582085;44.02580029582085, 4.962496967587194;44.025800295798675, 4.962496967587195;"{""coordinates"": [4.962496967587195, 44.025800295798675], ""type"": ""Point""}"
Villeneuve-d'Ingré;556000;1;068+270;51edd1a6-6665-11e3-afff-01f464e0362d;612838.1155000031;6760125.836800002;1.832663529613969;47.9357258182634;47.9357258182634, 1.8326635296139686;47.935725818252315, 1.8326635296139675;"{""coordinates"": [1.832663529613968, 47.935725818252315], ""type"": ""Point""}"
Toul;070000;1;315+703;51e99bd4-6665-11e3-afff-01f464e0362d;908504.5358999968;6845493.8237;5.832467391140279;48.675943475048435;48.675943475048435, 5.832467391140279;48.67594347502545, 5.832467391140281;"{""coordinates"": [5.832467391140281, 48.67594347502545], ""type"": ""Point""}"
Entrains;753000;1;251+220;51e28460-6665-11e3-afff-01f464e0362d;720270.0182000026;6707691.8475;3.269096491070281;47.469274102734204;47.469274102734204, 3.2690964910702807;47.46927410272175, 3.2690964910702807;"{""coordinates"": [3.269096491070281, 47.46927410272175], ""type"": ""Point""}"
Sennecey-le-Grand;830000;1;399+610;cef9f880-dfb5-11e3-8eff-01a464e0362d;843853.759300001;6616383.874299999;4.880521791480263;46.632101840700365;46.632101840700365, 4.880521791480263;46.63210184068546, 4.880521791480264;"{""coordinates"": [4.880521791480264, 46.63210184068546], ""type"": ""Point""}"
Auneuil;332000;1;009+930;51e5e37a-6665-11e3-afff-01f464e0362d;627666.008100003;6921540.770300001;2.003959445377217;49.38926022338241;49.38926022338241, 2.0039594453772165;49.38926022336301, 2.0039594453772156;"{""coordinates"": [2.003959445377216, 49.38926022336301], ""type"": ""Point""}"
Asnières-lès-Bourges;682000;1;131+657;51e1b80c-6665-11e3-afff-01f464e0362d;655240.5989999995;6668299.0977;2.409710677528441;47.1134490167257;47.1134490167257, 2.409710677528441;47.1134490167122, 2.4097106775284405;"{""coordinates"": [2.40971067752844, 47.1134490167122], ""type"": ""Point""}"
Sarralbe;097000;1;080+140;51ef7a22-6665-11e3-afff-01f464e0362d;994645.6291000023;6883513.796700001;7.027264956704504;48.98391917389304;48.98391917389304, 7.027264956704504;48.98391917387163, 7.027264956704507;"{""coordinates"": [7.027264956704507, 48.98391917387163], ""type"": ""Point""}"
