IDRESEAU;LIBELLE;CODE_LIGNE;RG_TRONCON;PK;IDGAIA;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;Geo Point;Geo Shape
85559;Thionville;177000;1;001+403;51e89d32-6665-11e3-afff-01f464e0362d;931361.4111000001;6922660.847399998;6.184914560471596;49.361483014091384;49.361483014091384, 6.184914560471596;49.361483014071844, 6.184914560471598;"{""coordinates"": [6.184914560471598, 49.361483014071844], ""type"": ""Point""}"
70013;Triage Sotteville;369000;1;134+260;51e706cc-6665-11e3-afff-01f464e0362d;562162.0349999964;6925951.1217;1.100772972317971;49.418102341546;49.418102341546, 1.1007729723179707;49.41810234152674, 1.1007729723179687;"{""coordinates"": [1.100772972317969, 49.41810234152674], ""type"": ""Point""}"
72504;Nantes-Blottereau;515000;1;428+214;51df0444-6665-11e3-afff-01f464e0362d;358550.92710000277;6689999.612399999;-1.514587114486958;47.222421314773435;47.222421314773435, -1.5145871144869583;47.22242131476026, -1.5145871144869614;"{""coordinates"": [-1.514587114486961, 47.22242131476026], ""type"": ""Point""}"
70007;Hausbergen;070000;1;496+390;51e6d754-6665-11e3-afff-01f464e0362d;1047870.0768000036;6847078.5823;7.72337968912005;48.630225102794746;48.630225102794746, 7.72337968912005;48.630225102771526, 7.723379689120056;"{""coordinates"": [7.723379689120056, 48.630225102771526], ""type"": ""Point""}"
132513;Ambérieu;890000;1;053+662;51e2d4f4-6665-11e3-afff-01f464e0362d;883453.7585999966;6541265.964400001;5.368465357654102;45.94633578416788;45.94633578416788, 5.3684653576541015;45.94633578415098, 5.368465357654103;"{""coordinates"": [5.368465357654103, 45.94633578415098], ""type"": ""Point""}"
155314;Triage Annexe Sotteville;340000;1;133+660;51ecfd0a-6665-11e3-afff-01f464e0362d;562262.4508000016;6925372.1382;1.102347722186457;49.41292150278052;49.41292150278052, 1.102347722186457;49.41292150276123, 1.1023477221864553;"{""coordinates"": [1.102347722186455, 49.41292150276123], ""type"": ""Point""}"
70014;Bordeaux-Hourcade;640000;1;002+850;51e7b4b0-6665-11e3-afff-01f464e0362d;418911.9877000004;6417632.2916;-0.555702291148764;44.80087457881068;44.80087457881068, -0.5557022911487635;44.80087457879055, -0.5557022911487655;"{""coordinates"": [-0.555702291148765, 44.80087457879055], ""type"": ""Point""}"
70021;Triage Miramas;830000;1;808+888;51e0fdb6-6665-11e3-afff-01f464e0362d;861154.800999999;6277783.6118;4.994797079881208;43.580791079857526;43.580791079857526, 4.994797079881208;43.58079107983422, 4.994797079881209;"{""coordinates"": [4.994797079881209, 43.58079107983422], ""type"": ""Point""}"
73230;Rennes;420000;1;372+570;51e81b6e-6665-11e3-afff-01f464e0362d;353086.52120000124;6788468.704799999;-1.663476930211257;48.104366196768;48.104366196768, -1.6634769302112573;48.10436619675741, -1.663476930211261;"{""coordinates"": [-1.663476930211261, 48.10436619675741], ""type"": ""Point""}"
81614;Perpignan-Roussillon;679000;1;472+098;51df0844-6665-11e3-afff-01f464e0362d;686297.0201999992;6176000.842799999;2.833011665592987;42.68349890182592;42.68349890182592, 2.833011665592987;42.68349890180055, 2.833011665592987;"{""coordinates"": [2.833011665592987, 42.68349890180055], ""type"": ""Point""}"
3030;Triage Avignon;830000;1;743+896;51e73db4-6665-11e3-afff-01f464e0362d;844277.060800001;6315741.498500001;4.796646566654123;43.92590451661242;43.92590451661242, 4.796646566654123;43.92590451658997, 4.7966465666541245;"{""coordinates"": [4.796646566654124, 43.92590451658997], ""type"": ""Point""}"
70019;Sibelin;830000;1;524+187;51e6c5de-6665-11e3-afff-01f464e0362d;842779.7232000008;6506607.8365;4.833177092273089;45.64409531535261;45.64409531535261, 4.833177092273089;45.644095315334845, 4.833177092273091;"{""coordinates"": [4.833177092273091, 45.644095315334845], ""type"": ""Point""}"
70018;Gevrey-Chambertin;830900;2;003+650;51e7a26a-6665-11e3-afff-01f464e0362d;852533.9900999963;6685775.9714;5.017114045911579;47.25475541686785;47.25475541686785, 5.017114045911579;47.254755416854785, 5.017114045911581;"{""coordinates"": [5.017114045911581, 47.254755416854785], ""type"": ""Point""}"
132513;Ambérieu;890000;1;051+538;51e2d4f4-6665-11e3-afff-01f464e0362d;881486.4297000021;6542023.3695;5.343371410811294;45.953681611357126;45.953681611357126, 5.343371410811294;45.95368161134024, 5.343371410811295;"{""coordinates"": [5.343371410811295, 45.95368161134024], ""type"": ""Point""}"
122252;Tergnier;242000;1;133+908;51e07ccc-6665-11e3-afff-01f464e0362d;720534.4908000007;6953711.950399999;3.284369600097493;49.68215163783461;49.68215163783461, 3.2843696000974933;49.68215163781661, 3.2843696000974933;"{""coordinates"": [3.284369600097493, 49.68215163781661], ""type"": ""Point""}"
132524;Dunkerque;304000;1;009+348;51dfb51a-6665-11e3-afff-01f464e0362d;649124.6596999988;7099947.701200001;2.276930739031669;50.99327464804807;50.99327464804807, 2.276930739031669;50.99327464803592, 2.2769307390316684;"{""coordinates"": [2.276930739031668, 50.99327464803592], ""type"": ""Point""}"
73029;Vénissieux;905000;1;009+518;51e09378-6665-11e3-afff-01f464e0362d;848526.2947999984;6512593.0295;4.908787546341127;45.69674983876052;45.69674983876052, 4.908787546341127;45.696749838742896, 4.908787546341129;"{""coordinates"": [4.908787546341129, 45.696749838742896], ""type"": ""Point""}"
131911;Badan;750316;1;000+014;51e24a08-6665-11e3-afff-01f464e0362d;838733.9103000015;6501803.476599999;4.779859803560344;45.601677782245005;45.601677782245005, 4.779859803560344;45.60167778222711, 4.779859803560345;"{""coordinates"": [4.779859803560345, 45.60167778222711], ""type"": ""Point""}"
72992;Rouen-Orléans;365000;1;001+080;51df9df2-6665-11e3-afff-01f464e0362d;561578.2795000002;6927944.805500001;1.09206908347873;49.43589013655193;49.43589013655193, 1.0920690834787303;49.43589013653274, 1.0920690834787288;"{""coordinates"": [1.092069083478729, 49.43589013653274], ""type"": ""Point""}"
